Year,Company/Brand,Sector,Stage,Amount($),HeadQuarter
2018,TheCollegeFever,Commerce,Seed,250000.0,Bengaluru
2018,Happy Cow Dairy,Agriculture,Seed,480000.0,Mumbai
2018,MyLoanCare,Finance,Series A,780000.0,Gurgaon
2018,PayMe India,Technology,Angel,2000000.0,Noida
2018,Eunimart,Technology,Seed,17030531.594164457,Hyderabad
2018,Hasura,Technology,Seed,1600000.0,Bengaluru
2018,Tripshelf,Technology,Seed,192000.0,Kalkaji
2018,Hyperdata.IO,Business Intelligence,Angel,600000.0,Hyderabad
2018,Freightwalla,Technology,Seed,17030531.594164457,Mumbai
2018,Microchip Payments,Technology,Seed,17030531.594164457,Bengaluru
2018,BizCrum Infotech Pvt. Ltd.,Commerce,Seed,17030531.594164457,Delhi
2018,Emojifi,Technology,Seed,17030531.594164457,Bengaluru
2018,Flock,Technology,Seed,17030531.594164457,India
2018,Freshboxx,Food & Beverages,Seed,17030531.594164457,Hubli
2018,Wide Mobility Mechatronics,Agriculture,Seed,17030531.594164457,Bengaluru
2018,Pitstop,Technology,Seed,1200000.0,Bengaluru
2018,Mihuru,Technology,Seed,150000.0,Mumbai
2018,Fyle,Technology,Seed,1100000.0,Bengaluru
2018,AppWharf,Technology,Seed,17030531.594164457,New Delhi
2018,Antariksh Waste Ventures Pvt ltd,Technology,Seed,6000.0,Chennai
2018,Cogoport,Transport,Series A,6000000.0,Mumbai
2018,PaisaDukan,Finance,Seed,650000.0,Mumbai
2018,Sleepy Owl Coffee,Food & Beverages,Seed,420000.0,New Delhi
2018,BlueJack,Transport,Seed,768000.0,Delhi
2018,PregBuddy,Technology,Seed,17030531.594164457,Bengaluru
2018,AgNext Technologies,Technology,Series A,17030531.594164457,Mohali
2018,Pando,Transport,Seed,2000000.0,Chennai
2018,Mintifi,Finance,Seed,2000000.0,Mumbai
2018,Carcrew,Technology,Seed,2000000.0,Mumbai
2018,NicheAI,Technology,Angel,17030531.594164457,Hyderabad
2018,Chariot Tech,Technology,Seed,240000.0,New Delhi
2018,Ideal Insurance Brokers/ 121Policy.com,Finance,Seed,1000000.0,Kolkata
2018,Loanzen,Finance,Seed,17030531.594164457,Bengaluru
2018,Mojro Technologies,Technology,Seed,650000.0,Bengaluru
2018,Elemential,Technology,Seed,1000000.0,Mumbai
2018,Loadshare,Transport,Series A,5000000.0,Bengaluru
2018,Yumlane,Food & Beverages,Series A,4000000.0,Mumbai
2018,Kriger Campus,Education,Seed,360000.0,New Delhi
2018,Pipa+Bella,Beauty & Fashion,Series A,1000000.0,Mumbai
2018,Kaleidofin,Finance,Seed,2800000.0,Chennai
2018,Chakr Innovation,Energy,Seed,17030531.594164457,New Delhi
2018,IndigoLearn,Education,Seed,150000.0,Hyderabad
2018,UClean,Technology,Seed,480000.0,India
2018,Coutloot,Technology,Seed,1000000.0,Mumbai
2018,Letstrack,Technology,Seed,1700000.0,New Delhi
2018,Pooltoo,Transport,Seed,17030531.594164457,New Delhi
2018,Finzy,Finance,Seed,1300000.0,Bengaluru
2018,Fitternity,Lifestyle,Seed,2000000.0,Mumbai
2018,Keito,Technology,Seed,17030531.594164457,Pune
2018,Tolet for Students,Hospitality,Seed,60000.0,Jodhpur
2018,Chai Kings,Food & Beverages,Seed,240000.0,Chennai
2018,Dainik Jagran,Agriculture,Seed,480000.0,Kanpur
2018,Playtoome,Agriculture,Seed,240000.0,Bengaluru
2018,ONGO Framework,Technology,Angel,1000000.0,Hyderabad
2018,Notesgen,Technology,Seed,150000.0,New Delhi
2018,Arogya MedTech,Health,Seed,180000.0,Kolkata
2018,Propshop24,Commerce,Seed,500000.0,Mumbai
2018,myUpchar,Lifestyle,Series A,5000000.0,New Delhi
2018,MissMalini Entertainment,Agriculture,Seed,1248000.0,Mumbai
2018,Rooter,Sports,Seed,540000.0,India
2018,ZestMoney,Technology,Series A,13400000.0,Bengaluru
2018,alphaics Corporation,Technology,Seed,17030531.594164457,Bengaluru
2018,MyDentistChoice,Health,Seed,500000.0,Hyderabad
2018,Sattviko,Food & Beverages,Angel,17030531.594164457,New Delhi
2018,Sensibull,Finance,Seed,300000.0,Bengaluru
2018,Bombay Shaving Company,Lifestyle,Series A,17030531.594164457,New Delhi
2018,MedCords,Lifestyle,Seed,316800.0,Pune
2018,University Living,Education,Seed,17030531.594164457,New Delhi
2018,&ME,Food & Beverages,Seed,17030531.594164457,Bengaluru
2018,Enakshi,Beauty & Fashion,Seed,96000.0,Ahmedabad
2018,Ultraviolette Automotive,Transport,Series A,720.0,Bengaluru
2018,Inthree Access,Business Intelligence,Series A,4000000.0,Chennai
2018,BUGWORKS Research India,Technology,Series A,9000000.0,Bengaluru
2018,Guardian.in,Health,Seed,17030531.594164457,Mumbai
